Unnamed: 0,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,department_Kids Unisex,department_Men,department_Unisex,department_Women,concentration_EDC,concentration_EDP,concentration_EDT,concentration_Oil,concentration_PDT
894,Calvin Klein,CK One,265.0,98.0,200,EDT,Unisex,Citrus,"Sandalwood, Amber, Musk, Cedar and Oakmoss","Nutmeg, Violet, Orris Root, Jasmine, Lily-Of-The-Valley and Rose",4.5,noon,4.2,98.1K,False,False,True,False,False,False,True,False,False
895,MONTBLANC,Emblem Intense,395.0,127.5,100,EDT,Men,Spicy,"Patchouli, Tonka Beans, Velvet, Woody Notes","Violet Leaf, Apple, Rose, Cinnamon, Nutmeg",4.2,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
896,MONTBLANC,Emblem,363.0,146.55,100,EDT,Men,Spicy,"Woody Notes, Tonka Bean","Violet Leaf, Cinnamon",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
897,Bill Blass,Nude Natural Spray Colo,114.0,79.45,100,EDT,Women,Floral,"Sandalwood, Musk, Orris Root, Vetiver","Oakmoss, Jasmine, Ylang-Ylang, Rose, Narcissus",4.7,AMLAQ,3.9,135,False,False,False,True,False,False,True,False,False
898,HUGO BOSS,Nuit,415.0,162.0,75,EDP,Women,Floral,"Sandalwood, Crystal Moss And Warm Woods","Violet, Jasmin And White Florals",4.8,AMLAQ,3.9,135,False,False,False,True,False,True,False,False,False
899,Roberto Cavalli,Florence,500.0,154.95,75,EDP,Women,Floral,"Patchouli, Amber, Musk","Orange Blossom, Hibiscus Seed, Grapefruit Blossom",4.7,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
900,Elizabeth Taylor,White Diamonds,220.0,118.85,100,EDT,Women,Floral,"Oak Moss, Patchouli, Musk, Sandalwood and Amber","Violet, Rose, Jasmine and Ylang-Ylang,",4.3,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
901,DAVIDOFF,Adventure,210.0,79.6,100,EDT,Men,Woody,"Vetiver,Ceder,WhiteMusk",Warm Spices Of Wild Aromatic Black Sesame And South American Pimento,4.5,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
902,Givenchy,L'Interdit EDP For Wo,550.0,206.55,80,EDT,Women,Floral,"Vetiver, Patchouli, Ambroxan and Vanilla","Orange Blossom, Jasmine and Tuberose",4.9,Number One,4.1,63,False,False,False,True,False,False,True,False,False
903,Dolce & Gabbana,3 L'Imperatrice,300.0,156.75,100,EDT,Women,Floral,"Citrus Wood, Musks And Sandalwood","Watermelon, Cyclamen And Jasmine",4.6,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
904,Roberto,Paradiso Assoluto,515.0,127.65,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",4.5,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
905,CHLOE,Love Story,535.0,221.9,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood And Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant And Peach",4.3,King-Perfume,3.6,450,False,False,False,True,False,True,False,False,False
906,Roberto Cavalli,Paradiso Assoluto,515.0,139.0,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",5.0,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
907,Ajmal,Sacrifice,79.0,75.9,50,EDP,Women,Floral,"Ambergris, Musk","Orange Blossom, Vanilla",4.2,neo lek,3.6,88,False,False,False,True,False,True,False,False,False
908,Estee Lauder,Beautiful,570.0,181.2,75,EDP,Women,Floral,"Sandalwood, Vetiver and Amber","Orange Flower, Muguet, Jasmine and Ylang-Ylang",4.6,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
909,Roberto Cavalli,Paradiso Azzuro,499.0,175.0,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amberwood, Sandalwood","Wild Jasmine, Watery Notes, Apple, Peach and Rose Tuberose",4.7,AMLAQ,3.9,135,False,False,False,True,False,True,False,False,False
910,Roberto Cavalli,Paradiso Azzurro,499.0,165.0,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amber wood, Sandalwood, Vanilla","Wild Jasmine, Watery Notes, Apple, Tuberose, Peach, Rose",4.7,Beauty Group,4.2,124,False,False,False,True,False,True,False,False,False
911,Roberto Cavalli,Women,430.0,103.0,75,EDP,Women,Arabian,"Benzoin,Tonka Beans,Vanilla",Orange Tree Blossom,5.0,rich&light,3.5,69,False,False,False,True,False,True,False,False,False
912,GUESS,Dare,170.0,75.0,100,EDT,Women,Citrus,"Coconut Accords, Wood, Musk","Wild Rose, Elegant Jasmine",4.9,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
913,Dunhill,Desire Blue,280.0,68.0,100,EDT,Men,Fresh,"Tonka Bean, Musk, Amber And, Benzoin","Orange, Brazilian Rosewood And, Sea Notes",4.3,Modon,3.6,71,False,True,False,False,False,False,True,False,False
914,BURBERRY,For Women EDP Natural Sp,378.0,153.75,100,EDP,Women,Fruity,Musk And Vanilla,"Woody-Floral, Sandalwood And Cedar",4.8,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
